user_id,views,clicks,add_to_cart,purchases,total_spend,avg_order_value,last_event_timestamp
user_166,0,0,0,1,280.32,280.32,2026-03-21T20:36:56.060-07:00
user_893,0,1,0,0,0.0,0.0,2026-03-11T21:29:56.060-07:00
user_493,1,0,0,0,0.0,0.0,2026-03-20T00:02:56.060-07:00
user_930,1,0,0,0,0.0,0.0,2026-03-05T22:48:56.060-08:00
user_755,1,0,0,0,0.0,0.0,2026-03-20T11:42:56.060-07:00
user_820,0,1,0,0,0.0,0.0,2026-03-13T01:35:56.060-07:00
user_992,1,0,0,0,0.0,0.0,2026-03-28T02:37:56.060-07:00
user_704,1,0,0,0,0.0,0.0,2026-03-13T18:20:56.060-07:00
user_144,1,0,0,0,0.0,0.0,2026-03-10T02:25:56.060-07:00
user_106,1,0,0,0,0.0,0.0,2026-03-27T05:32:56.060-07:00
user_46,0,1,0,0,0.0,0.0,2026-03-16T22:19:56.060-07:00
user_684,1,0,0,0,0.0,0.0,2026-03-15T09:00:56.060-07:00
user_946,1,0,0,0,0.0,0.0,2026-03-21T22:01:56.060-07:00
user_400,1,0,0,0,0.0,0.0,2026-03-22T10:59:56.060-07:00
user_577,1,0,0,0,0.0,0.0,2026-03-05T02:01:56.060-08:00
user_414,0,0,1,0,0.0,0.0,2026-03-27T16:14:56.060-07:00
user_410,1,0,0,0,0.0,0.0,2026-03-26T03:41:56.060-07:00
user_597,0,1,0,0,0.0,0.0,2026-03-08T11:45:56.060-07:00
user_337,1,0,0,0,0.0,0.0,2026-03-04T21:49:56.060-08:00
user_138,0,0,1,0,0.0,0.0,2026-03-07T00:04:56.060-08:00
user_279,1,0,0,0,0.0,0.0,2026-03-29T06:38:56.060-07:00
user_322,1,0,0,0,0.0,0.0,2026-03-04T00:46:56.060-08:00
user_228,0,0,1,0,0.0,0.0,2026-03-22T16:46:56.060-07:00
user_136,1,0,0,0,0.0,0.0,2026-03-04T21:08:56.060-08:00
user_78,1,0,0,0,0.0,0.0,2026-03-08T12:48:56.060-07:00
user_554,1,0,0,0,0.0,0.0,2026-03-05T23:52:56.060-08:00
user_191,1,0,0,0,0.0,0.0,2026-03-28T19:56:56.060-07:00
user_272,1,0,0,0,0.0,0.0,2026-03-07T16:57:56.060-08:00
user_274,0,1,0,0,0.0,0.0,2026-03-06T16:04:56.060-08:00
user_324,2,0,0,0,0.0,0.0,2026-03-11T01:06:56.060-07:00
user_749,0,1,0,0,0.0,0.0,2026-03-23T21:34:56.060-07:00
user_874,1,0,0,0,0.0,0.0,2026-03-08T21:57:56.060-07:00
user_635,1,0,0,0,0.0,0.0,2026-03-20T19:54:56.060-07:00
user_449,1,0,0,0,0.0,0.0,2026-03-15T12:25:56.060-07:00
user_374,1,0,0,0,0.0,0.0,2026-03-18T00:49:56.060-07:00
user_948,0,1,0,0,0.0,0.0,2026-03-09T03:29:56.060-07:00
