user_id,views,clicks,add_to_cart,purchases,total_spend,avg_order_value,last_event_timestamp
user_926,1,0,0,0,0.0,0.0,2026-03-12T05:21:56.060-07:00
user_317,1,0,0,0,0.0,0.0,2026-03-03T06:26:56.060-08:00
user_94,1,0,0,0,0.0,0.0,2026-03-03T21:27:56.060-08:00
user_166,0,0,0,1,280.32,280.32,2026-03-21T20:36:56.060-07:00
user_893,0,1,0,0,0.0,0.0,2026-03-11T21:29:56.060-07:00
user_493,1,0,0,0,0.0,0.0,2026-03-20T00:02:56.060-07:00
user_659,0,0,1,0,0.0,0.0,2026-03-08T06:03:56.060-07:00
user_254,1,0,0,0,0.0,0.0,2026-03-04T15:56:56.060-08:00
user_930,1,0,0,0,0.0,0.0,2026-03-05T22:48:56.060-08:00
user_755,1,0,0,0,0.0,0.0,2026-03-20T11:42:56.060-07:00
user_973,1,0,0,0,0.0,0.0,2026-03-26T08:02:56.060-07:00
user_411,0,1,0,0,0.0,0.0,2026-03-04T18:17:56.060-08:00
user_827,0,1,0,0,0.0,0.0,2026-03-10T09:58:56.060-07:00
user_958,1,0,0,0,0.0,0.0,2026-03-27T23:22:56.060-07:00
user_157,1,0,0,0,0.0,0.0,2026-03-09T02:27:56.060-07:00
user_363,0,1,0,0,0.0,0.0,2026-03-20T11:01:56.060-07:00
user_994,1,0,0,0,0.0,0.0,2026-03-09T21:02:56.060-07:00
user_47,1,0,0,0,0.0,0.0,2026-03-15T14:26:56.060-07:00
user_232,0,1,0,0,0.0,0.0,2026-03-19T20:04:56.060-07:00
user_31,1,0,0,0,0.0,0.0,2026-03-11T16:48:56.060-07:00
user_159,0,1,0,0,0.0,0.0,2026-03-31T13:20:56.060-07:00
user_575,2,0,0,0,0.0,0.0,2026-03-31T07:50:56.060-07:00
user_698,0,1,0,0,0.0,0.0,2026-03-30T08:12:56.060-07:00
user_714,1,0,0,0,0.0,0.0,2026-03-24T05:59:56.060-07:00
user_705,1,0,0,0,0.0,0.0,2026-03-06T14:25:56.060-08:00
user_563,1,0,0,0,0.0,0.0,2026-03-13T19:30:56.060-07:00
user_909,1,0,0,0,0.0,0.0,2026-03-07T22:10:56.060-08:00
user_970,0,0,1,0,0.0,0.0,2026-03-05T15:33:56.060-08:00
user_388,0,0,0,1,153.66,153.66,2026-03-26T20:58:56.060-07:00
user_236,1,0,0,0,0.0,0.0,2026-03-11T18:32:56.060-07:00
user_390,1,0,1,0,0.0,0.0,2026-03-22T09:14:56.060-07:00
user_820,0,1,0,0,0.0,0.0,2026-03-13T01:35:56.060-07:00
user_323,0,0,1,0,0.0,0.0,2026-03-31T13:54:56.060-07:00
user_992,1,0,0,0,0.0,0.0,2026-03-28T02:37:56.060-07:00
user_347,0,1,0,0,0.0,0.0,2026-03-23T01:32:56.060-07:00
user_204,1,0,0,0,0.0,0.0,2026-03-02T20:40:56.060-08:00
user_195,1,0,0,0,0.0,0.0,2026-03-13T03:45:56.060-07:00
user_9,1,0,0,0,0.0,0.0,2026-03-03T23:34:56.060-08:00
user_788,0,1,0,0,0.0,0.0,2026-03-17T05:33:56.060-07:00
user_614,0,0,1,0,0.0,0.0,2026-03-23T23:41:56.060-07:00
user_394,1,0,0,0,0.0,0.0,2026-03-06T14:29:56.060-08:00
user_704,1,0,0,0,0.0,0.0,2026-03-13T18:20:56.060-07:00
user_45,1,0,0,0,0.0,0.0,2026-03-22T15:48:56.060-07:00
user_670,1,0,0,0,0.0,0.0,2026-03-06T05:29:56.060-08:00
user_93,0,1,0,0,0.0,0.0,2026-03-16T14:51:56.060-07:00
user_702,1,0,0,0,0.0,0.0,2026-03-04T07:05:56.060-08:00
user_812,1,0,0,0,0.0,0.0,2026-03-20T23:06:56.060-07:00
user_851,0,0,1,0,0.0,0.0,2026-03-13T10:40:56.060-07:00
user_144,1,0,0,0,0.0,0.0,2026-03-10T02:25:56.060-07:00
user_106,1,0,0,0,0.0,0.0,2026-03-27T05:32:56.060-07:00
user_626,0,0,0,1,233.15,233.15,2026-03-05T01:32:56.060-08:00
user_46,0,1,0,0,0.0,0.0,2026-03-16T22:19:56.060-07:00
user_726,1,0,0,0,0.0,0.0,2026-03-01T19:50:56.060-08:00
user_12,0,0,1,0,0.0,0.0,2026-03-06T23:07:56.060-08:00
user_689,1,0,0,0,0.0,0.0,2026-03-13T16:21:56.060-07:00
user_684,1,0,0,0,0.0,0.0,2026-03-15T09:00:56.060-07:00
user_946,1,0,0,0,0.0,0.0,2026-03-21T22:01:56.060-07:00
user_400,1,0,0,0,0.0,0.0,2026-03-22T10:59:56.060-07:00
user_598,2,0,0,0,0.0,0.0,2026-03-18T05:23:56.060-07:00
user_577,1,0,0,0,0.0,0.0,2026-03-05T02:01:56.060-08:00
user_234,1,0,0,0,0.0,0.0,2026-03-14T22:05:56.060-07:00
user_589,1,0,0,0,0.0,0.0,2026-03-15T04:28:56.060-07:00
user_900,0,0,1,0,0.0,0.0,2026-03-12T15:32:56.060-07:00
user_524,1,0,0,0,0.0,0.0,2026-03-19T06:44:56.060-07:00
user_162,0,1,0,0,0.0,0.0,2026-03-21T20:29:56.060-07:00
user_562,1,0,0,0,0.0,0.0,2026-03-15T13:54:56.060-07:00
user_414,0,0,1,0,0.0,0.0,2026-03-27T16:14:56.060-07:00
user_371,0,0,1,0,0.0,0.0,2026-03-10T12:01:56.060-07:00
user_413,1,0,0,0,0.0,0.0,2026-03-15T04:56:56.060-07:00
user_410,1,0,0,0,0.0,0.0,2026-03-26T03:41:56.060-07:00
user_456,1,0,0,0,0.0,0.0,2026-03-18T06:08:56.060-07:00
user_460,1,0,0,0,0.0,0.0,2026-03-14T09:51:56.060-07:00
user_981,1,0,0,0,0.0,0.0,2026-03-25T07:44:56.060-07:00
user_597,0,1,0,0,0.0,0.0,2026-03-08T11:45:56.060-07:00
user_611,2,0,0,0,0.0,0.0,2026-03-25T19:56:56.060-07:00
user_986,1,0,0,0,0.0,0.0,2026-03-13T03:10:56.060-07:00
user_105,1,0,0,0,0.0,0.0,2026-03-26T13:41:56.060-07:00
user_337,1,0,0,0,0.0,0.0,2026-03-04T21:49:56.060-08:00
user_96,1,0,0,0,0.0,0.0,2026-03-12T10:32:56.060-07:00
user_26,1,0,0,0,0.0,0.0,2026-03-14T06:24:56.060-07:00
user_138,0,0,1,0,0.0,0.0,2026-03-07T00:04:56.060-08:00
user_892,1,0,0,0,0.0,0.0,2026-03-29T22:53:56.060-07:00
user_279,1,0,0,0,0.0,0.0,2026-03-29T06:38:56.060-07:00
